Protein_ID,Domains,Functions
ABR83084.1,proline_adenylation_protein; BafX; polyketide_synthase; BafY; PKS_I,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component Y; Type I polyketide synthase activity
ARO18898.1,"putative_dTDP-glucose_4,6-dehydratase; BafAII; PKS_I; PKS_I; PKS_I",Dehydration of dTDP-glucose; Bafilomycin biosynthesis component AII; Type I polyketide synthase activity
BAT47512.1,proline_adenylation_protein; hypothetical_protein; polyketide_synthase; BafX; BafY,Activation of proline for peptide synthesis; Protein of unknown function; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component X; Bafilomycin biosynthesis component Y
BAT47513.1,proline_adenylation_protein; polyketide_synthase; hypothetical_protein; BafX; putative_acyl-coA_ligase,Activation of proline for peptide synthesis; Catalyzes polyketide synthesis; Protein of unknown function; Bafilomycin biosynthesis component X; Activation of fatty acids (predicted)
BAT47514.1,proline_adenylation_protein; BafX; BafY; polyketide_synthase; hypothetical_protein,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Bafilomycin biosynthesis component Y; Catalyzes polyketide synthesis; Protein of unknown function
BAT47515.1,proline_adenylation_protein; hypothetical_protein; putative_acyl-coA_ligase; polyketide_synthase; polyketide_synthase_AufC,Activation of proline for peptide synthesis; Protein of unknown function; Activation of fatty acids (predicted); Catalyzes polyketide synthesis; Specific polyketide synthesis (AufC variant)
BAT47516.1,proline_adenylation_protein; polyketide_synthase_type_I; polyketide_synthase_type_I; hypothetical_protein; putative_acyl-coA_ligase,Activation of proline for peptide synthesis; Type I polyketide synthesis (modular); Protein of unknown function; Activation of fatty acids (predicted)
BFO63100.1,proline_adenylation_protein; BafX; hypothetical_protein; polyketide_synthase_type_I; BafY,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Protein of unknown function; Type I polyketide synthesis (modular); Bafilomycin biosynthesis component Y
CAI8805946.1,AmbB; polyketide_synthase_type_I; polyketide_synthase_AufD; polyketide_synthase; PKS_I,Ambobactin biosynthesis component B; Type I polyketide synthesis (modular); Specific polyketide synthesis (AufD variant); Catalyzes polyketide synthesis; Type I polyketide synthase activity
CAM2763972.1,"AngAV; AngAII; NDP-hexose_3,4-isomerase; polyketide_synthase; polyketide_synthase_type_I",Angiogenin-related component AV; Angiogenin-related component AII; Carbohydrate isomerization; Catalyzes polyketide synthesis; Type I polyketide synthesis (modular)
CAM3577162.1,proline_adenylation_protein; hypothetical_protein; polyketide_synthase; BafY; BafX,Activation of proline for peptide synthesis; Protein of unknown function; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component Y; Bafilomycin biosynthesis component X
CAM3652502.1,proline_adenylation_protein; BafX; BafAII; hypothetical_protein; AngAIII,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Bafilomycin biosynthesis component AII; Protein of unknown function; Angiogenin-related component AIII
UYT19774.1,proline_adenylation_protein; BafX; polyketide_synthase; BafY; PKS_I,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component Y; Type I polyketide synthase activity
WP_138398174.1,PKS_I; polyketide_synthase; transcriptional_regulator; SARP_transcriptional_regulator; polyketide_synthase,Type I polyketide synthase activity; Catalyzes polyketide synthesis; Controls gene expression; Regulation of antibiotic production
WP_148045554.1,ABC_transporter_protein; AmbB; similar_to_AmphRI_regulatory_protein; polyketide_synthase; type_1_polyketide_synthase,Transport of molecules across membrane; Ambobactin biosynthesis component B; Regulation of amphoteronolide biosynthesis; Catalyzes polyketide synthesis; Type I polyketide synthesis (modular)
WP_171695355.1,"AngAIV; AmbB; NDP-hexose_3,4-isomerase; PKS_I; Na+/H+_antiporter",Angiogenin-related component AIV; Ambobactin biosynthesis component B; Carbohydrate isomerization; Type I polyketide synthase activity; Ion exchange across membrane
WP_209484166.1,type_1_polyketide_synthase; polyketide_synthase_type_I; polyketide_synthase_type_I; type_1_polyketide_synthase; TetR_regulatory_protein,Type I polyketide synthesis (modular); Transcriptional repression
WP_231883699.1,"polyketide_synthase_type_I; transcriptional_regulator,_SARP_family; PKS_I; AngAI; AngAIV","Type I polyketide synthesis (modular); Function associated with transcriptional_regulator,_SARP_family; Type I polyketide synthase activity; Angiogenin-related component AI; Angiogenin-related component AIV"
WP_246736987.1,SARP_transcriptional_regulator; methyltransferase; polyketide_synthase_AufC; BafAI; PKS_I,Regulation of antibiotic production; Catalyzes methylation reactions; Specific polyketide synthesis (AufC variant); Bafilomycin biosynthesis component AI; Type I polyketide synthase activity
WP_341081218.1,LuxR_family_transcriptional_regulator; putative_HC-toxin_efflux_carrier_TOXA; polyketide_synthase_type_I; NDP-hexose-C3-methyltransferase; reductase/dehydrogenase,Quorum sensing and gene regulation; Toxin efflux; Type I polyketide synthesis (modular); Methylation of NDP-hexose at C3 position; Reduction and dehydrogenation reactions
WP_374249988.1,"type_1_polyketide_synthase; type_II_thioesterase; NDP-hexose_3,4-isomerase; BafAII; AmbB",Type I polyketide synthesis (modular); Removal of aberrant intermediates in polyketide synthesis; Carbohydrate isomerization; Bafilomycin biosynthesis component AII; Ambobactin biosynthesis component B
WP_374309088.1,AmbE; transcriptional_repressor; glycosyltransferase; PKS_I; PKS_I,Ambobactin biosynthesis component E; Negative regulation of gene expression; Transfers glycosyl groups to acceptor molecules; Type I polyketide synthase activity
WP_374341810.1,"AmbB; polyketide_synthase; transcriptional_regulator,_SARP_family; BafAII; BafAIII","Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Function associated with transcriptional_regulator,_SARP_family; Bafilomycin biosynthesis component AII; Bafilomycin biosynthesis component AIII"
WP_374374627.1,PKS_I; AmbQ; hypothetical_protein; polyketide_synthase_type_I; polyketide_synthase_type_I,Type I polyketide synthase activity; Ambobactin biosynthesis component Q; Protein of unknown function; Type I polyketide synthesis (modular)
WP_375275745.1,polyketide_synthase; polyketide_synthase_AufD; PKS_I; AmbB; hypothetical_protein,Catalyzes polyketide synthesis; Specific polyketide synthesis (AufD variant); Type I polyketide synthase activity; Ambobactin biosynthesis component B; Protein of unknown function
WP_377874665.1,HypA; AngAI; AngAIV; cytochrome_P450; PKS_I,Hydrogenase maturation protein A; Angiogenin-related component AI; Angiogenin-related component AIV; Function associated with cytochrome_P450; Type I polyketide synthase activity
WP_378845721.1,AngAI; polyketide_synthase; polyketide_synthase_AufD; type_1_polyketide_synthase; PKS_I,Angiogenin-related component AI; Catalyzes polyketide synthesis; Specific polyketide synthesis (AufD variant); Type I polyketide synthesis (modular); Type I polyketide synthase activity
WP_379036518.1,polyketide_synthase_type_I; LuxR_family_transcriptional_regulator; type_1_polyketide_synthase; polyketide_synthase_type_I; PKS_I,Type I polyketide synthesis (modular); Quorum sensing and gene regulation; Type I polyketide synthase activity
WP_379090270.1,type_1_polyketide_synthase; polyketide_synthase_type_I; LuxR_family_transcriptional_regulator; AviG3; BafX,Type I polyketide synthesis (modular); Quorum sensing and gene regulation; Avilamycin biosynthesis component G3; Bafilomycin biosynthesis component X
WP_379130331.1,"polyketide_synthase; AmbB; AngAV; NDP-hexose_3,4-isomerase; transcriptional_regulator",Catalyzes polyketide synthesis; Ambobactin biosynthesis component B; Angiogenin-related component AV; Carbohydrate isomerization; Controls gene expression
WP_390290327.1,BafY; TetR_regulatory_protein; AmbA; AngAIII; polyketide_synthase_type_I,Bafilomycin biosynthesis component Y; Transcriptional repression; Ambobactin biosynthesis component A; Angiogenin-related component AIII; Type I polyketide synthesis (modular)
WP_391375990.1,PKS_I; BafAI; NDP-hexose-C3-methyltransferase; versicolorin_B_synthase; VBS,Type I polyketide synthase activity; Bafilomycin biosynthesis component AI; Methylation of NDP-hexose at C3 position; Synthesis of versicolorin B in aflatoxin pathway; Versicolorin B synthesis
WP_391515705.1,transcriptional_regulator; binding-protein_dependent_ABC_transporter; AmbB; polyketide_synthase; BafAII,Controls gene expression; Substrate-binding transport across membrane; Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component AII
WP_391559211.1,polyketide_synthase; PksA; PksA; PksA; PksA,Catalyzes polyketide synthesis; Polyketide synthase involved in aflatoxin biosynthesis
WP_393957544.1,EmrB/QacA_drug_resistance_transporter; glycosyltransferase; polyketide_synthase; polyketide_synthase_type_I; BafAII,Drug efflux and multidrug resistance; Transfers glycosyl groups to acceptor molecules; Catalyzes polyketide synthesis; Type I polyketide synthesis (modular); Bafilomycin biosynthesis component AII
WP_393975098.1,"AmbB; type_1_polyketide_synthase; NDP-hexose_3,4-isomerase; putative_NDP-glucose_4-epimerase; BafAII",Ambobactin biosynthesis component B; Type I polyketide synthesis (modular); Carbohydrate isomerization; Epimerization of NDP-glucose; Bafilomycin biosynthesis component AII
WP_393978746.1,AmbB; AmbC; AngAI; BafAV; type_1_polyketide_synthase,Ambobactin biosynthesis component B; Ambobactin biosynthesis component C; Angiogenin-related component AI; Bafilomycin biosynthesis component AV; Type I polyketide synthesis (modular)
WP_393984481.1,"type_1_polyketide_synthase; type_II_thioesterase; NDP-hexose_3,4-isomerase; BafAII; AmbB",Type I polyketide synthesis (modular); Removal of aberrant intermediates in polyketide synthesis; Carbohydrate isomerization; Bafilomycin biosynthesis component AII; Ambobactin biosynthesis component B
WP_393988544.1,cytochrome_P450; type_1_polyketide_synthase; AngAV; putative_dNDP-hexose_3-ketoreductase; LuxR_family_transcriptional_regulator,Function associated with cytochrome_P450; Type I polyketide synthesis (modular); Angiogenin-related component AV; Reduction of ketone group in dNDP-hexose; Quorum sensing and gene regulation
WP_393991883.1,"ABC_transporter; type_1_polyketide_synthase; PKS_I; AmbC; NDP-hexose_3,4-isomerase",Transport of molecules across membrane; Type I polyketide synthesis (modular); Type I polyketide synthase activity; Ambobactin biosynthesis component C; Carbohydrate isomerization
WP_393996635.1,AmbB; polyketide_synthase_type_I; LuxR-family_transcription_regulator; amide_synthase; polyketide_synthase,Ambobactin biosynthesis component B; Type I polyketide synthesis (modular); Quorum sensing and gene regulation; Formation of amide bonds; Catalyzes polyketide synthesis
WP_394008175.1,type_II_thioesterase; ABC_transporter_oligopeptide_permease; similar_to_AmphRI_regulatory_protein; LuxR_family_transcriptional_regulator; PKS_I,Removal of aberrant intermediates in polyketide synthesis; Oligopeptide transport across membrane; Regulation of amphoteronolide biosynthesis; Quorum sensing and gene regulation; Type I polyketide synthase activity
WP_394032341.1,polyketide_synthase; transcriptional_regulator; polyketide_synthase; type_1_polyketide_synthase; PKS_I,Catalyzes polyketide synthesis; Controls gene expression; Type I polyketide synthesis (modular); Type I polyketide synthase activity
WP_394034628.1,"kinase; polyketide_synthase; transcriptional_regulator,_SARP_family; acyl_CoA_dehydrogenase; polyketide_synthase_type_I","Phosphorylation of substrates; Catalyzes polyketide synthesis; Function associated with transcriptional_regulator,_SARP_family; Fatty acid oxidation; Type I polyketide synthesis (modular)"
WP_394038837.1,BafAIII; PKS_I; polyketide_synthase_type_I; glucose_1-dehydrogenase; AngAIII,Bafilomycin biosynthesis component AIII; Type I polyketide synthase activity; Type I polyketide synthesis (modular); Glucose oxidation; Angiogenin-related component AIII
WP_394040999.1,AngAII; polyketide_synthase; SARP_transcriptional_regulator; PKS_I; polyketide_synthase,Angiogenin-related component AII; Catalyzes polyketide synthesis; Regulation of antibiotic production; Type I polyketide synthase activity
WP_394058857.1,AmbB; BafAI; hypothetical_protein; hypothetical_protein; aflatoxin_B1_aldehyde_reductase_member_3,Ambobactin biosynthesis component B; Bafilomycin biosynthesis component AI; Protein of unknown function; Reduction of aflatoxin aldehydes
WP_394064521.1,polyketide_synthase; transcriptional_regulator; SARP_transcriptional_regulator; polyketide_synthase; type_1_polyketide_synthase,Catalyzes polyketide synthesis; Controls gene expression; Regulation of antibiotic production; Type I polyketide synthesis (modular)
WP_394067533.1,"type_1_polyketide_synthase; ABC_transporter_oligopeptide_permease; AmbE; similar_to_AmphRI_regulatory_protein; NDP-hexose_3,4-isomerase",Type I polyketide synthesis (modular); Oligopeptide transport across membrane; Ambobactin biosynthesis component E; Regulation of amphoteronolide biosynthesis; Carbohydrate isomerization
WP_394076167.1,PKS_I; polyketide_synthase; transcriptional_regulator; polyketide_synthase; polyketide_synthase,Type I polyketide synthase activity; Catalyzes polyketide synthesis; Controls gene expression
WP_394077114.1,"polyketide_synthase; transcriptional_regulator,_SARP_family; acyl_CoA_dehydrogenase; polyketide_synthase_type_I; polyketide_synthase_AufG","Catalyzes polyketide synthesis; Function associated with transcriptional_regulator,_SARP_family; Fatty acid oxidation; Type I polyketide synthesis (modular); Specific polyketide synthesis (AufG variant)"
WP_394081549.1,type_II_thioesterase; BafAIV; similar_to_AmphRI_regulatory_protein; LuxR_family_transcriptional_regulator; PKS_I,Removal of aberrant intermediates in polyketide synthesis; Bafilomycin biosynthesis component AIV; Regulation of amphoteronolide biosynthesis; Quorum sensing and gene regulation; Type I polyketide synthase activity
WP_394088603.1,polyketide_synthase; transcriptional_regulator; SARP_transcriptional_regulator; polyketide_synthase; PKS_I,Catalyzes polyketide synthesis; Controls gene expression; Regulation of antibiotic production; Type I polyketide synthase activity
WP_394091412.1,PKS_I; polyketide_synthase; transcriptional_regulator; SARP_transcriptional_regulator; polyketide_synthase,Type I polyketide synthase activity; Catalyzes polyketide synthesis; Controls gene expression; Regulation of antibiotic production
WP_394100829.1,"type_1_polyketide_synthase; transcriptional_regulator,_SARP_family; polyketide_synthase_type_I; type_1_polyketide_synthase; TetR_transcriptional_regulator","Type I polyketide synthesis (modular); Function associated with transcriptional_regulator,_SARP_family; Transcriptional repression"
WP_394105113.1,"transaldolase; LuxR_family_transcriptional_regulator; type_1_polyketide_synthase; type_II_thioesterase; NDP-hexose_3,4-isomerase",Carbohydrate metabolism; Quorum sensing and gene regulation; Type I polyketide synthesis (modular); Removal of aberrant intermediates in polyketide synthesis; Carbohydrate isomerization
WP_394111076.1,"BafAIII; NDP-hexose_3,4-isomerase; polyketide_synthase_type_I; type_1_polyketide_synthase; binding-protein_dependent_ABC_transporter",Bafilomycin biosynthesis component AIII; Carbohydrate isomerization; Type I polyketide synthesis (modular); Substrate-binding transport across membrane
WP_394111893.1,polyketide_synthase_type_I; type_1_polyketide_synthase; polyketide_synthase_type_I; type_1_polyketide_synthase; TetR_regulatory_protein,Type I polyketide synthesis (modular); Transcriptional repression
WP_394946084.1,AmbB; BafAI; hypothetical_protein; hypothetical_protein; aflatoxin_B1_aldehyde_reductase_member_3,Ambobactin biosynthesis component B; Bafilomycin biosynthesis component AI; Protein of unknown function; Reduction of aflatoxin aldehydes
WP_395664523.1,LuxR-family_transcription_regulator; AmbB; polyketide_synthase; polyketide_synthase; polyketide_synthase_AufF,Quorum sensing and gene regulation; Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Specific polyketide synthesis (AufF variant)
WP_395697023.1,AmbE; transcriptional_repressor; glycosyltransferase; type_1_polyketide_synthase; unknown,Ambobactin biosynthesis component E; Negative regulation of gene expression; Transfers glycosyl groups to acceptor molecules; Type I polyketide synthesis (modular); Function not characterized
WP_400765736.1,AmbC; PKS_I; ABC_transporter; polyketide_synthase_type_I; BafAIV,Ambobactin biosynthesis component C; Type I polyketide synthase activity; Transport of molecules across membrane; Type I polyketide synthesis (modular); Bafilomycin biosynthesis component AIV
WP_400880729.1,putative_transporter; PKS_I; polyketide_synthase; polyketide_synthase; type_1_polyketide_synthase,Molecular transport (predicted); Type I polyketide synthase activity; Catalyzes polyketide synthesis; Type I polyketide synthesis (modular)
WP_402758273.1,polyketide_synthase_AufC; AmbF; polyketide_synthase_AufF; LuxR_family_transcriptional_regulator; PKS_I,Specific polyketide synthesis (AufC variant); Ambobactin biosynthesis component F; Specific polyketide synthesis (AufF variant); Quorum sensing and gene regulation; Type I polyketide synthase activity
WP_402798883.1,AngAI; polyketide_synthase; polyketide_synthase_AufD; PKS_I; AmbB,Angiogenin-related component AI; Catalyzes polyketide synthesis; Specific polyketide synthesis (AufD variant); Type I polyketide synthase activity; Ambobactin biosynthesis component B
WP_403409309.1,type_1_polyketide_synthase; VBS; Amb4; hypothetical_protein; type_1_polyketide_synthase,Type I polyketide synthesis (modular); Versicolorin B synthesis; Ambobactin biosynthesis component 4; Protein of unknown function
WP_404359873.1,type_1_polyketide_synthase; EmrB/QacA_drug_resistance_transporter; PKS_I; PKS_I; glycosyltransferase,Type I polyketide synthesis (modular); Drug efflux and multidrug resistance; Type I polyketide synthase activity; Transfers glycosyl groups to acceptor molecules
WP_405029742.1,"type_1_polyketide_synthase; hypothetical_protein; NDP-hexose_3,4-isomerase; polyketide_synthase_type_I; similar_to_AmphRI_regulatory_protein",Type I polyketide synthesis (modular); Protein of unknown function; Carbohydrate isomerization; Regulation of amphoteronolide biosynthesis
WP_405707408.1,AmbB; polyketide_synthase_type_I; hypothetical_protein; polyketide_synthase; polyketide_synthase,Ambobactin biosynthesis component B; Type I polyketide synthesis (modular); Protein of unknown function; Catalyzes polyketide synthesis
WP_407271027.1,AmbG; monooxygenase_AufJ; PKS_I; Aft9-1; AvnA,Ambobactin biosynthesis component G; Oxygen insertion (AufJ variant); Type I polyketide synthase activity; Antibiotic biosynthesis component 9-1; Polyene antibiotic biosynthesis component A
WP_407340944.1,polyketide_synthase_type_I; protein_methyltransferase; AmbC; putative_transporter; PKS_I,Type I polyketide synthesis (modular); Protein-specific methylation; Ambobactin biosynthesis component C; Molecular transport (predicted); Type I polyketide synthase activity
WP_407866493.1,AmbC; AmbB; polyketide_synthase; transcriptional_regulator; caffeoyl-CoA_o-methyltransferase,Ambobactin biosynthesis component C; Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Controls gene expression; Methylation in phenylpropanoid pathway
WP_407995214.1,putative_transporter; hypothetical_protein; 3-O-acyltransferase; 3-amino-5-hydroxybenzoate_synthase; type_1_polyketide_synthase,Molecular transport (predicted); Protein of unknown function; Transfer of acyl groups; AHBA biosynthesis for rifamycin; Type I polyketide synthesis (modular)
WP_407995776.1,pathway-specific_SARP_activator; Zn-dependent_alcohol_dehydrogenase; type_1_polyketide_synthase; LuxR-family_transcription_regulator; unknown,Pathway-specific gene activation; Zinc-dependent alcohol oxidation; Type I polyketide synthesis (modular); Quorum sensing and gene regulation; Function not characterized
WP_409562062.1,"transcriptional_regulator,_SARP_family; putative_transmembrane_protein; ATP-binding_ABC_peptide_transporter; PKS_I; cytochrome_P450_monooxygenase","Function associated with transcriptional_regulator,_SARP_family; Function associated with putative_transmembrane_protein; ATP-dependent peptide transport; Type I polyketide synthase activity; Single oxygen insertion reactions"
WP_409853016.1,desaturase; PKSN_polyketide_synthase_for_alternapyrone_biosynthesis; putative_citrinin_biosynthesis_transcriptional_activator_CtnR; VerB; VerB,Introduction of double bonds; Alternapyrone synthesis; Regulation of citrinin biosynthesis; Versicolorin B synthesis enzyme
WP_409979092.1,PKS_I; AngAI; AngAIII; AngAIV; N-methyltransferase,Type I polyketide synthase activity; Angiogenin-related component AI; Angiogenin-related component AIII; Angiogenin-related component AIV; Methylation of nitrogen atoms
WP_411903715.1,polyketide_synthase; polyketide_synthase_AufD; type_1_polyketide_synthase; PKS_I; AmbB,Catalyzes polyketide synthesis; Specific polyketide synthesis (AufD variant); Type I polyketide synthesis (modular); Type I polyketide synthase activity; Ambobactin biosynthesis component B
WP_412968760.1,CypX; CypX; BC_transporter_oligopeptide_binding_protein; cytochrome_P450_monooxygenase; CypX,Cytochrome P450 in aflatoxin biosynthesis; Function associated with BC_transporter_oligopeptide_binding_protein; Single oxygen insertion reactions
WP_414116387.1,PKS_I; polyketide_synthase_type_I; AmbB; type_1_polyketide_synthase; type_1_polyketide_synthase,Type I polyketide synthase activity; Type I polyketide synthesis (modular); Ambobactin biosynthesis component B
WP_414461653.1,"transcriptional_regulator,_SARP_family; putative_transmembrane_protein; ATP-binding_ABC_peptide_transporter; PKS_I; cytochrome_P450_monooxygenase","Function associated with transcriptional_regulator,_SARP_family; Function associated with putative_transmembrane_protein; ATP-dependent peptide transport; Type I polyketide synthase activity; Single oxygen insertion reactions"
WP_414590999.1,BafAIV; AmbC; StcC; AmbQ; NDP-4-keto-6-deoxyhexose_reductase,Bafilomycin biosynthesis component AIV; Ambobactin biosynthesis component C; Sterigmatocystin biosynthesis component C; Ambobactin biosynthesis component Q; Reduction in deoxyhexose biosynthesis
WP_415070495.1,"transcriptional_regulator,_SARP_family; hypothetical_protein; polyketide_synthase_type_I; putative_transporter; ATP-binding_ABC_peptide_transporter","Function associated with transcriptional_regulator,_SARP_family; Protein of unknown function; Type I polyketide synthesis (modular); Molecular transport (predicted); ATP-dependent peptide transport"
XCP53806.1,glycosyltransferase; PKS_I; BafAII; type_1_polyketide_synthase; PKS_I,Transfers glycosyl groups to acceptor molecules; Type I polyketide synthase activity; Bafilomycin biosynthesis component AII; Type I polyketide synthesis (modular)
XHH54078.1,proline_adenylation_protein; hypothetical_protein; BafX; PksA; polyketide_synthase,Activation of proline for peptide synthesis; Protein of unknown function; Bafilomycin biosynthesis component X; Polyketide synthase involved in aflatoxin biosynthesis; Catalyzes polyketide synthesis
XHV06635.1,proline_adenylation_protein; ABC_transporter; BafY; polyketide_synthase; BafX,Activation of proline for peptide synthesis; Transport of molecules across membrane; Bafilomycin biosynthesis component Y; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component X
XJV75695.1,"PKS_I; BafAII; polyketide_synthase; transcriptional_regulator,_SARP_family; polyketide_synthase","Type I polyketide synthase activity; Bafilomycin biosynthesis component AII; Catalyzes polyketide synthesis; Function associated with transcriptional_regulator,_SARP_family"
XKG22298.1,type_1_polyketide_synthase; hypothetical_protein; hypothetical_protein; hypothetical_protein; polyketide_synthase,Type I polyketide synthesis (modular); Protein of unknown function; Catalyzes polyketide synthesis
XMF84248.1,proline_adenylation_protein; PKS_I; glycosyltransferase; oxidoreductase_A;oxidoreductase/cytochrome_P450_monooxygenase; OrdA,Activation of proline for peptide synthesis; Type I polyketide synthase activity; Transfers glycosyl groups to acceptor molecules; Function associated with oxidoreductase_A;oxidoreductase/cytochrome_P450_monooxygenase; Aflatoxin biosynthesis oxidoreductase A
XMG51263.1,proline_adenylation_protein; ABC_transporter; BafY; polyketide_synthase; BafX,Activation of proline for peptide synthesis; Transport of molecules across membrane; Bafilomycin biosynthesis component Y; Catalyzes polyketide synthesis; Bafilomycin biosynthesis component X
XNO08231.1,proline_adenylation_protein; BafX; polyketide_synthase; hypothetical_protein; BafY,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Catalyzes polyketide synthesis; Protein of unknown function; Bafilomycin biosynthesis component Y
XNO08232.1,proline_adenylation_protein; BafX; polyketide_synthase; hypothetical_protein; BafY,Activation of proline for peptide synthesis; Bafilomycin biosynthesis component X; Catalyzes polyketide synthesis; Protein of unknown function; Bafilomycin biosynthesis component Y
XOL52311.1,polyketide_synthase; PksA; PksA; PksA; PksA,Catalyzes polyketide synthesis; Polyketide synthase involved in aflatoxin biosynthesis
pdb_2N6Z_A,AmbB; polyketide_synthase; polyketide_synthase; LuxR_family_transcriptional_regulator; type_1_polyketide_synthase,Ambobactin biosynthesis component B; Catalyzes polyketide synthesis; Quorum sensing and gene regulation; Type I polyketide synthesis (modular)
